Age;Gender;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence
41;Male;United States;SD;No;Yes;Yes;Rarely;100-500;Yes;Yes;Yes;Yes;Don't know;Yes;Yes;Somewhat easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
31;Male;United States;OH;No;No;No;?;100-500;No;No;Don't know;No;No;No;Yes;Somewhat easy;Maybe;No;No;No;No;Yes;No;No
23;Male;United States;AL;No;Yes;Yes;Sometimes;100-500;No;No;Don't know;No;No;No;Don't know;Don't know;No;No;Yes;Yes;Maybe;Yes;Don't know;No
34;Male;United States;WA;No;No;Yes;Sometimes;100-500;Yes;Yes;No;No;No;No;Don't know;Somewhat easy;Yes;Yes;Some of them;Some of them;No;Maybe;Don't know;No
26;male;United States;OK;Yes;Yes;Yes;Rarely;100-500;Yes;No;No;No;No;Don't know;No;Don't know;Maybe;No;Some of them;Yes;No;Yes;No;No
36;Male;United States;?;No;Yes;Yes;Often;100-500;No;Yes;No;Yes;No;No;Yes;Very easy;No;No;Some of them;Some of them;No;No;Don't know;No
21;Male;United States;IN;No;Yes;Yes;Rarely;100-500;No;Yes;Yes;No;No;Don't know;Yes;Don't know;No;No;Yes;Yes;Maybe;Maybe;Don't know;No
32;female;United States;AL;No;No;No;Never;100-500;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;Maybe;No;No;Some of them;No;Maybe;Don't know;No
29;Male;Canada;?;No;No;Yes;Sometimes;100-500;No;Yes;Don't know;Not sure;Don't know;Don't know;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;Yes;No
35;M;United States;CA;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;Don't know;Very difficult;Maybe;Maybe;Some of them;Some of them;No;Maybe;No;Yes
26;F;United States;OK;No;No;Yes;Sometimes;100-500;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Somewhat difficult;No;No;Some of them;Some of them;No;No;Yes;No
30;fluid;Germany;?;No;Yes;Yes;Sometimes;100-500;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat difficult;No;No;Yes;Yes;Maybe;Maybe;No;No
24;Male;United States;TX;No;Yes;Yes;Sometimes;100-500;No;Yes;No;Yes;No;No;Don't know;Somewhat difficult;Yes;No;Some of them;Some of them;No;Maybe;No;Yes
28;Male;Canada;?;Yes;No;No;Never;100-500;Yes;Yes;Don't know;No;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;Yes;No;No;Yes;No
20;Male;Australia;?;No;No;No;?;100-500;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Yes;Very easy;No;No;Some of them;Yes;No;No;Don't know;No
33;female;United States;MA;No;No;No;?;100-500;Yes;Yes;Yes;No;Don't know;No;Don't know;Don't know;No;No;Some of them;Yes;No;No;Yes;No
26;F;United States;CA;No;No;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;Don't know;Somewhat difficult;Yes;Maybe;Some of them;Some of them;No;No;No;Yes
27;Male;United States;OR;No;Yes;Yes;Sometimes;100-500;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Yes;No;No;No;No;Yes;Don't know;No
35;Male;Netherlands;?;No;Yes;No;Never;100-500;No;Yes;Yes;No;No;No;Yes;Don't know;Yes;No;No;No;No;Maybe;Don't know;No
42;f;Netherlands;?;No;No;Yes;Rarely;100-500;Yes;Yes;Yes;Yes;No;No;Yes;Don't know;Yes;No;Some of them;No;No;Maybe;Don't know;No
31;Male;United States;OR;No;No;Yes;Sometimes;100-500;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;No;No;Some of them;Yes;No;No;Yes;No
30;female;United States;NY;No;No;No;?;100-500;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;Maybe;Don't know;No
30;M;United States;PA;No;No;No;Rarely;100-500;No;No;Don't know;Not sure;No;No;Don't know;Don't know;No;No;Some of them;Some of them;No;No;Don't know;No
35;Female;United States;OH;No;No;Yes;Sometimes;100-500;No;Yes;No;Yes;No;No;Don't know;Don't know;Yes;Maybe;No;No;No;Maybe;No;No
42;male;United States;KS;No;No;No;Never;100-500;No;No;Yes;No;Yes;No;Don't know;Very difficult;Maybe;No;Yes;Yes;Maybe;Yes;No;No
31;Female;Canada;?;Yes;Yes;Yes;Sometimes;100-500;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Yes;No;No;Yes;No
31;Male;Australia;?;No;No;Yes;Rarely;100-500;No;Yes;Yes;Yes;Yes;Yes;Don't know;Somewhat easy;No;No;Yes;Yes;Yes;Yes;No;No
26;F;United States;MN;No;Yes;Yes;Often;100-500;No;No;Don't know;No;No;No;Don't know;Somewhat difficult;Maybe;No;No;No;No;Maybe;No;No
31;Female;United States;PA;No;Yes;Yes;Rarely;100-500;No;Yes;Yes;Yes;No;No;Yes;Somewhat easy;No;No;Yes;Yes;No;No;Yes;No
28;female;United States;CA;No;Yes;Yes;Often;100-500;Yes;Yes;Yes;No;No;Don't know;Don't know;Don't know;Yes;Yes;Some of them;Some of them;No;No;No;Yes
28;Androgyne;United Kingdom;?;No;Yes;Yes;Rarely;100-500;No;Yes;No;Not sure;No;No;Yes;Somewhat difficult;Yes;Yes;Some of them;Some of them;Yes;No;No;Yes
27;Female;New Zealand;?;No;Yes;Yes;Rarely;100-500;Yes;Yes;No;No;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;Yes;Don't know;No
27;Male;United States;OR;No;Yes;Yes;Sometimes;100-500;Yes;Yes;Don't know;No;No;Don't know;Don't know;Don't know;No;No;Some of them;No;No;No;Yes;No
38;Make;United States;PA;No;Yes;Yes;Sometimes;100-500;No;Yes;Don't know;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;No;No;No;Don't know;No
50;Male;United States;OR;No;Yes;No;?;100-500;Yes;Yes;Don't know;No;No;Don't know;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Don't know;No
27;Male;Australia;?;No;No;Yes;Often;100-500;Yes;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;No;Yes
29;Male;United States;OR;No;Yes;No;Never;100-500;No;Yes;Yes;Yes;Yes;Yes;Don't know;Don't know;No;No;Some of them;Yes;No;Maybe;Yes;No
23;Male;United States;PA;No;No;No;Rarely;100-500;No;Yes;Yes;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Some of them;No;No;Yes;No
24;Female;United States;?;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Not sure;No;No;Don't know;Somewhat difficult;Yes;Maybe;No;No;No;No;No;Yes
31;Male;United States;NY;No;Yes;Yes;Rarely;100-500;No;Yes;No;No;No;Don't know;Don't know;Somewhat difficult;Yes;Yes;Some of them;No;No;No;No;Yes
29;Male;United States;CA;No;Yes;No;Often;100-500;No;Yes;Yes;Yes;Yes;Yes;Don't know;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
33;Male;United States;WI;No;Yes;Yes;Sometimes;100-500;No;No;Yes;Not sure;No;No;Yes;Somewhat difficult;Yes;Yes;No;No;No;No;No;No
32;Male;United States;MI;No;No;No;Sometimes;100-500;No;Yes;No;Yes;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;No;No
35;Male;United States;MD;No;Yes;Yes;Rarely;100-500;Yes;No;Yes;Yes;No;No;Yes;Very difficult;Yes;No;Some of them;No;No;Maybe;No;No
22;Male;United Kingdom;?;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No
24;m;Germany;?;No;Yes;No;Sometimes;100-500;No;Yes;Don't know;No;No;No;Don't know;Somewhat easy;No;No;Some of them;Some of them;No;Maybe;Don't know;No
31;Female;United States;OR;No;Yes;Yes;Sometimes;100-500;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Some of them;No;No;Don't know;No
37;Guy (-ish) ^_^;Canada;?;No;Yes;Yes;Sometimes;100-500;No;No;Yes;Yes;No;No;Don't know;Somewhat difficult;Yes;Maybe;Some of them;Some of them;No;Maybe;No;No
24;Female;United Kingdom;?;No;No;Yes;Sometimes;100-500;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;No;Some of them;No;Maybe;Don't know;No
34;female;United States;CA;No;No;Yes;Sometimes;100-500;Yes;Yes;Yes;Yes;No;Don't know;Don't know;Somewhat easy;Maybe;No;Some of them;Yes;No;No;Yes;No
35;m;Germany;?;No;No;Yes;Rarely;100-500;No;No;Don't know;No;Yes;Don't know;Don't know;Very easy;No;No;Some of them;Yes;No;No;Yes;No
31;female;Belgium;?;No;Yes;Yes;Rarely;100-500;No;No;Yes;No;No;No;No;Don't know;Maybe;No;Some of them;No;No;No;Don't know;Yes
26;F;Australia;?;No;Yes;No;Sometimes;100-500;No;No;No;Yes;Yes;Yes;Don't know;Somewhat easy;No;No;Yes;Yes;No;No;Don't know;No
29;Male;United Kingdom;?;No;Yes;Yes;Never;100-500;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;No;No;No;No;No;No
43;male;France;?;No;No;No;?;100-500;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Don't know;No
26;Man;Canada;?;No;No;No;?;100-500;Yes;Yes;Yes;Not sure;Don't know;Yes;Don't know;Somewhat easy;No;No;Some of them;Some of them;No;No;Yes;No
26;female;Israel;?;No;Yes;No;Never;100-500;No;Yes;Don't know;No;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;No;Yes;No
49;Male;United States;NY;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Not sure;Yes;Yes;Yes;Somewhat easy;Maybe;Maybe;Some of them;Yes;No;No;Yes;No
37;Male;France;?;No;No;No;?;100-500;No;Yes;No;No;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;No;No
30;M;United States;FL;No;No;No;?;100-500;No;No;Yes;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Don't know;No
37;male;United States;CA;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;Don't know;Don't know;Yes;Don't know;Maybe;No;Yes;Yes;No;No;Don't know;No
32;Male;United Kingdom;?;No;No;Yes;Rarely;100-500;No;Yes;Don't know;No;No;No;Don't know;Don't know;Maybe;No;Yes;Yes;No;Maybe;No;Yes
30;male;United States;TN;No;Yes;No;Never;100-500;No;Yes;Don't know;No;No;Don't know;Don't know;Very easy;No;No;Some of them;Yes;No;Maybe;Don't know;No
31;Male;South Africa;?;No;No;No;Never;100-500;Yes;Yes;No;No;No;No;No;Don't know;No;No;Some of them;Some of them;No;Maybe;No;No
5;Male;United States;OH;No;No;No;?;100-500;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat easy;No;No;Yes;Yes;No;No;Yes;No
33;Male;United Kingdom;?;Yes;No;No;Never;100-500;No;No;No;Not sure;No;No;Don't know;Very easy;No;No;Yes;Some of them;No;Yes;No;No
39;Male;United Kingdom;?;No;No;Yes;Sometimes;100-500;No;Yes;No;No;No;No;Don't know;Very easy;No;No;No;Some of them;No;Yes;Yes;No
36;Male;United States;OH;No;No;Yes;Sometimes;100-500;Yes;Yes;Yes;Yes;No;No;Don't know;Very difficult;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;No
37;Male;United States;MI;No;Yes;Yes;Sometimes;100-500;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;No;Don't know;No
27;Female;United States;CA;No;No;Yes;Sometimes;100-500;No;Yes;Don't know;Not sure;Yes;Don't know;Don't know;Somewhat easy;Yes;No;Some of them;No;No;Maybe;No;No
39;Male;Canada;?;No;No;Yes;Sometimes;100-500;No;No;Yes;Yes;Yes;Yes;Yes;Very easy;Yes;No;Some of them;Yes;No;Maybe;No;Yes
37;Male;Netherlands;?;No;No;No;?;100-500;Yes;No;Don't know;No;Don't know;Don't know;Don't know;Somewhat easy;Maybe;No;Yes;Yes;No;No;Don't know;No
29;M;United Kingdom;?;No;No;No;Rarely;100-500;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Don't know;Yes
35;Female;United States;LA;No;No;Yes;Sometimes;100-500;No;No;Yes;No;No;No;Yes;Very difficult;Yes;Maybe;No;Some of them;No;Yes;No;Yes
32;Female;United States;CA;No;Yes;Yes;Often;100-500;No;Yes;Yes;No;No;Don't know;Don't know;Don't know;Yes;No;Some of them;Yes;No;No;Don't know;No
35;female;United States;CA;No;No;Yes;Sometimes;100-500;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;Maybe;No;Some of them;No;No;Maybe;Yes;No
29;Male;United States;MD;No;No;No;Never;100-500;No;No;Yes;Yes;Yes;No;Yes;Very easy;Yes;Maybe;Yes;Yes;No;Maybe;Don't know;No
40;female;United States;WA;No;Yes;Yes;Sometimes;100-500;No;No;Yes;Yes;Yes;Yes;Yes;Don't know;Maybe;No;Some of them;Yes;No;No;Don't know;Yes
29;m;United Kingdom;?;No;No;Yes;Sometimes;100-500;No;Yes;No;No;No;No;Don't know;Somewhat difficult;No;No;Some of them;Some of them;No;Maybe;No;No
40;Female;United States;WA;No;Yes;Yes;Sometimes;100-500;No;No;Yes;Not sure;Yes;Don't know;Don't know;Don't know;Yes;Maybe;Some of them;No;No;No;Don't know;No
40;M;United States;CA;No;No;No;Never;100-500;No;Yes;Yes;Not sure;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;Maybe;Don't know;No
29;F;United States;CA;No;Yes;Yes;Rarely;100-500;No;Yes;Yes;Not sure;Don't know;No;Don't know;Don't know;No;No;Yes;Yes;No;Maybe;Don't know;No
47;F;United States;PA;No;No;No;?;100-500;Yes;Yes;Don't know;No;No;Don't know;Don't know;Very difficult;Yes;Yes;No;No;No;No;No;No
31;Female;United States;NY;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;Don't know;Somewhat difficult;No;No;Yes;Yes;Maybe;Maybe;Don't know;No
34;M;United States;TN;No;No;Yes;Sometimes;100-500;No;Yes;Don't know;No;Yes;Don't know;Yes;Don't know;Maybe;No;Some of them;No;No;No;Don't know;No
33;Male;United States;MN;No;No;No;?;100-500;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;No;No
23;M;United States;IL;No;No;No;Never;100-500;No;No;Don't know;No;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don't know;No
32;Female;United Kingdom;?;No;Yes;Yes;Sometimes;100-500;No;Yes;Don't know;No;No;No;Don't know;Somewhat difficult;Maybe;No;Some of them;Some of them;No;Yes;Don't know;Yes
26;Male;India;?;Yes;No;No;?;100-500;No;Yes;No;No;No;No;Yes;Very easy;No;No;Some of them;Yes;No;No;Yes;No
29;m;United States;TN;No;Yes;No;?;100-500;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
30;Male;United States;TN;No;Yes;No;Never;100-500;No;Yes;Yes;No;Don't know;Yes;Don't know;Very difficult;Yes;Yes;Some of them;No;Maybe;Maybe;No;No
51;m;United States;TN;No;No;No;?;100-500;No;No;Don't know;Not sure;No;Don't know;Don't know;Somewhat difficult;No;No;Some of them;Yes;No;No;Don't know;No
25;Male;United States;TX;No;No;No;?;100-500;Yes;Yes;Yes;No;No;No;Yes;Don't know;No;No;Yes;Yes;Maybe;Maybe;Don't know;No
31;Male;United States;MO;No;Yes;No;Never;100-500;No;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;No;No;Some of them;Yes;No;No;Don't know;No
43;Cis Male;United States;WA;No;No;Yes;Sometimes;100-500;Yes;Yes;Yes;Yes;No;Yes;Yes;Very difficult;Yes;Maybe;Some of them;No;No;Maybe;No;Yes
38;Male;United States;WA;No;Yes;Yes;Sometimes;100-500;No;Yes;No;Not sure;No;No;Don't know;Very difficult;Yes;Yes;No;Some of them;No;Maybe;No;No
32;male;United States;WA;No;Yes;No;Sometimes;100-500;No;Yes;Yes;Yes;Yes;Yes;Don't know;Don't know;Yes;No;Some of them;No;No;No;Don't know;No
45;Male;United Kingdom;?;No;Yes;No;Rarely;100-500;No;No;Don't know;No;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No
28;male;United States;NY;No;Yes;Yes;Often;100-500;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;Yes;Don't know;No
39;male;United States;MN;No;No;Yes;Rarely;100-500;Yes;Yes;Yes;Yes;No;No;Yes;Very easy;Maybe;No;Some of them;Yes;No;No;Don't know;No
34;male;United States;PA;No;Yes;Yes;Often;100-500;No;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;Maybe;Maybe;Don't know;No
38;m;United States;PA;No;Yes;Yes;Sometimes;100-500;Yes;No;Yes;Yes;No;Yes;Yes;Very easy;No;No;Yes;Yes;Yes;Yes;Don't know;No
34;M;United States;SD;No;No;No;Sometimes;100-500;No;Yes;Don't know;No;No;No;Don't know;Don't know;Yes;No;Some of them;No;No;Maybe;Don't know;No
44;F;United States;CA;No;No;No;?;100-500;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;Yes;No;No;No;No;No;Don't know;No
23;Male;Israel;?;No;No;No;?;100-500;No;Yes;Don't know;Not sure;No;No;Yes;Very easy;Maybe;No;Some of them;Yes;Maybe;Yes;Don't know;No
40;female;United States;GA;No;Yes;No;Never;100-500;Yes;Yes;Yes;Yes;Yes;No;Don't know;Don't know;Yes;Yes;No;No;No;No;Don't know;No
36;M;United States;MN;No;No;No;Never;100-500;No;No;Don't know;No;No;Don't know;Don't know;Don't know;Yes;Maybe;No;No;No;Maybe;Don't know;Yes
26;Female;Canada;?;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Not sure;No;No;Yes;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No
28;Male;Brazil;?;No;Yes;No;Sometimes;100-500;No;Yes;No;No;No;No;Don't know;Somewhat easy;No;No;Some of them;Some of them;No;No;Don't know;Yes
27;Male;United States;CA;No;No;Yes;Sometimes;100-500;No;Yes;Don't know;Not sure;No;No;Yes;Very difficult;Maybe;No;Some of them;No;No;Maybe;No;No
31;m;United States;CA;No;No;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;No;No;Maybe;No;No
28;Female;United States;CA;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;No;Yes;No
43;male;United States;TX;No;Yes;No;Never;100-500;No;No;Yes;Yes;No;Don't know;Don't know;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;No;No
32;Male;United States;TN;No;Yes;Yes;Often;100-500;No;Yes;No;Yes;No;No;Don't know;Very difficult;Yes;No;Yes;Yes;No;Yes;No;No
37;Male;United States;UT;No;No;Yes;Sometimes;100-500;No;Yes;Yes;No;No;Yes;Yes;Very easy;No;No;No;Yes;No;No;Yes;No
26;Male;United States;OH;No;Yes;No;Sometimes;100-500;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No
40;Male;United Kingdom;?;No;No;Yes;Never;100-500;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Very easy;Maybe;No;Yes;Some of them;No;Maybe;Don't know;No
33;Female;United Kingdom;?;No;No;Yes;Never;100-500;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Very easy;Maybe;No;Some of them;Some of them;No;Maybe;No;No
38;Male;Canada;?;No;Yes;Yes;Rarely;100-500;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;No;No;Yes;Yes;No;Maybe;No;No
31;Male;United Kingdom;?;No;No;No;Never;100-500;No;Yes;Yes;No;No;Yes;Don't know;Don't know;Maybe;Yes;Some of them;No;No;No;Yes;No
46;Female;United States;CA;No;No;Yes;Often;100-500;Yes;No;Yes;Yes;No;No;Yes;Don't know;Maybe;No;Some of them;Some of them;No;Maybe;No;No
26;Female;United States;MI;No;Yes;Yes;Rarely;100-500;No;Yes;Yes;No;No;No;Don't know;Don't know;Maybe;Maybe;No;No;No;Maybe;No;No
27;femail;United States;OK;No;No;No;Never;100-500;No;No;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Yes;No;No;Yes;No
44;M;United States;OH;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;Yes;Yes;Don't know;Maybe;No;Some of them;Some of them;No;No;Don't know;No
25;male;Ireland;?;No;No;No;?;100-500;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Don't know;No
28;Male;Australia;?;No;No;Yes;Often;100-500;Yes;Yes;No;Yes;No;No;Don't know;Don't know;Yes;No;No;No;No;Maybe;No;No
24;Male;United Kingdom;?;No;No;No;?;100-500;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Yes;No;Maybe;Don't know;No
33;Male;Czech Republic;?;No;Yes;No;Often;100-500;No;Yes;No;Yes;No;No;Don't know;Somewhat easy;No;No;Some of them;Yes;Maybe;Maybe;Don't know;Yes
46;male;United States;MD;No;Yes;Yes;Sometimes;100-500;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Yes;Yes;Yes;Don't know;No
31;male;Germany;?;No;Yes;Yes;Sometimes;100-500;No;Yes;Don't know;No;No;No;Yes;Somewhat easy;No;No;Some of them;No;No;No;Don't know;No
22;Male;Australia;?;No;Yes;Yes;Often;100-500;No;No;Yes;Yes;Yes;Yes;Yes;Don't know;Maybe;Maybe;No;Yes;No;Maybe;Don't know;Yes
32;Male;United States;OR;No;No;No;Never;100-500;No;Yes;Yes;Not sure;Don't know;Yes;Don't know;Somewhat easy;No;No;No;Some of them;Maybe;Yes;Don't know;No
36;Male;South Africa;?;No;Yes;Yes;Often;100-500;No;No;No;Yes;No;No;Don't know;Somewhat easy;No;No;Some of them;Yes;No;Yes;Yes;No
29;male;United States;NC;No;Yes;Yes;Sometimes;100-500;Yes;Yes;Yes;Yes;Yes;No;Yes;Don't know;Yes;No;Some of them;No;No;Maybe;No;No
46;f;United States;NC;No;No;No;?;100-500;Yes;Yes;No;Yes;No;No;Don't know;Don't know;Yes;No;No;No;No;No;No;No
31;Male;United Kingdom;?;;Yes;Yes;Often;26-100;No;Yes;No;Yes;No;No;No;Somewhat difficult;Yes;Yes;Some of them;No;Maybe;Maybe;No;Yes
23;Male;Canada;?;;No;No;Never;26-100;No;Yes;Don't know;No;Don't know;Don't know;Don't know;Don't know;No;No;Yes;Yes;Maybe;Maybe;Yes;No
42;female;United States;CA;?;Yes;Yes;Sometimes;26-100;No;No;Yes;Yes;No;No;Don't know;Somewhat difficult;Yes;Yes;Yes;Yes;Maybe;Maybe;No;Yes
29;female;United States;IL;?;Yes;Yes;Rarely;26-100;No;Yes;Yes;Not sure;No;No;Don't know;Somewhat easy;No;No;Yes;Some of them;Maybe;Maybe;Don't know;No
23;Male;United Kingdom;?;;No;Yes;Sometimes;26-100;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;Maybe;No;Some of them;No;Maybe;Maybe;No;No
46;Male;United States;MA;No;No;Yes;Often;26-100;Yes;Yes;Yes;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;Maybe;No;No
33;male;United States;CA;No;Yes;Yes;Rarely;26-100;No;Yes;Yes;Not sure;Don't know;Yes;Yes;Don't know;No;No;Yes;Yes;No;Yes;Don't know;No
34;male;United States;OH;No;No;Yes;Sometimes;26-100;Yes;Yes;Don't know;Not sure;No;Don't know;Don't know;Somewhat difficult;No;No;Some of them;No;No;No;No;No
42;Male;United States;WA;No;Yes;Yes;Sometimes;26-100;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;Maybe;No;Some of them;Some of them;Maybe;Yes;Don't know;No
30;Male;United States;IN;No;No;Yes;Sometimes;26-100;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;No;No;No;Maybe;Don't know;No
38;Female;United States;TX;No;Yes;Yes;Sometimes;26-100;No;Yes;Yes;Yes;No;Yes;Yes;Somewhat easy;No;No;Some of them;Yes;No;No;Yes;No
28;Male;United Kingdom;?;No;No;No;?;26-100;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;Maybe;Some of them;Yes;Maybe;Yes;Don't know;No
30;male;United States;IL;No;Yes;Yes;Rarely;26-100;No;Yes;Yes;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Don't know;No
27;Male-ish;United States;NY;No;Yes;Yes;Rarely;26-100;No;Yes;Yes;Yes;No;No;Yes;Don't know;Maybe;No;No;No;No;No;Don't know;No
24;Male;United States;NY;No;Yes;Yes;Sometimes;26-100;Yes;Yes;Don't know;No;No;No;Don't know;Don't know;No;Maybe;Some of them;Yes;Yes;Yes;No;No
26;Male;United States;TN;No;No;No;?;26-100;No;No;No;No;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;Maybe;Yes;Don't know;No
26;Female;Poland;?;No;No;Yes;Sometimes;26-100;Yes;Yes;Don't know;Not sure;Yes;Yes;Yes;Very easy;No;No;Yes;Yes;Maybe;Yes;Yes;No
26;Male;France;?;No;No;No;?;26-100;No;Yes;No;No;No;No;Don't know;Very easy;Yes;No;No;No;No;No;No;Yes
31;Female;United States;NM;No;No;No;?;26-100;Yes;No;Don't know;No;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No
28;m;France;?;No;No;No;Never;26-100;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;No;Don't know;No
38;Male;United Kingdom;?;No;No;No;?;26-100;No;Yes;No;No;No;Don't know;Yes;Somewhat easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No
32;Male;United States;UT;No;Yes;Yes;Sometimes;26-100;Yes;Yes;No;No;No;No;Don't know;Somewhat difficult;Yes;No;Some of them;No;No;Yes;No;No
23;Male;United Kingdom;?;No;No;No;Never;26-100;No;Yes;Yes;Not sure;Yes;Don't know;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
30;male;Canada;?;No;No;No;Never;26-100;No;No;No;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;No;No;No;No
31;Male;United States;TX;No;No;No;?;26-100;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;No;No
29;F;United States;FL;No;No;Yes;Sometimes;26-100;No;Yes;Yes;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;Maybe;No;Yes
40;male;United States;TX;No;No;Yes;Sometimes;26-100;No;Yes;No;Yes;No;No;Yes;Very difficult;No;No;Yes;Yes;Yes;Yes;No;No
34;Male;United States;OH;No;No;No;?;26-100;No;Yes;Don't know;No;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;No;No;Maybe;Don't know;No
18;something kinda male?;Russia;?;No;No;No;?;26-100;Yes;Yes;Yes;Yes;No;No;Yes;Somewhat easy;No;No;Yes;Yes;Yes;Yes;Don't know;No
